qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
"1,18,1,1,22,1,""126572"",""125187"",""126714"""
"2,18,9,2,4,2,""126103"",""125315"",""126869"""
"3,18,5,1,23,3,""125664"",""125452"",""127079"""
"4,18,13,6,2,4,""125994"",""125691"",""127178"""
"5,18,2,2,3,5,""125960"",""125518"",""127236"""
"6,18,15,7,11,6,""126427"",""126101"",""128527"""
"7,18,3,3,7,7,""126295"",""126059"",""128687"""
"8,18,14,9,9,8,""126381"",""126063"",""129041"""
"9,18,10,7,12,9,""126919"",""126164"",""129593"""
"10,18,20,5,15,10,""126702"",""125842"",\N"
"11,18,22,11,17,11,""126369"",""126173"",\N"
"12,18,4,4,5,12,""126907"",""126188"",\N"
"13,18,18,11,16,13,""126712"",""126259"",\N"
"14,18,6,3,8,14,""126891"",""126413"",\N"
"15,18,17,9,10,15,""126914"",\N,\N"
"16,18,8,6,1,16,""126140"",\N,\N"
"17,18,21,10,21,17,""127207"",\N,\N"
"18,18,7,5,14,18,""127446"",\N,\N"
"19,18,16,10,20,19,""127859"",\N,\N"
"20,18,11,8,18,20,""128208"",\N,\N"
"21,18,12,4,6,21,""128330"",\N,\N"
"22,18,19,8,19,22,""129059"",\N,\N"
"23,19,13,6,2,1,""135347"",""134412"",""135748"""
"24,19,8,6,1,2,""135645"",""134188"",""136230"""
"25,19,5,1,23,3,""135227"",""134759"",""136613"""
"26,19,1,1,22,4,""135392"",""134627"",""136709"""
"27,19,15,7,11,5,""135205"",""134960"",""136711"""
"28,19,9,2,4,6,""135794"",""134811"",""136727"""
"29,19,2,2,3,7,""135729"",""134648"",""136753"""
"30,19,17,9,10,8,""135440"",""134967"",""137009"""
"31,19,4,4,5,9,""135983"",""135140"",""138450"""
"32,19,10,7,12,10,""135891"",""135000"",""139656"""
"33,19,18,11,16,11,""135847"",""135208"",\N"
"34,19,14,9,9,12,""136058"",""135408"",\N"
"35,19,12,4,6,13,""136074"",""135562"",\N"
"36,19,22,11,17,14,""136198"",""135622"",\N"
"37,19,20,5,15,15,""136111"",""135648"",\N"
"38,19,3,3,7,16,""135843"",""135670"",\N"
"39,19,21,10,21,17,""136240"",\N,\N"
"40,19,6,3,8,18,""136388"",\N,\N"
"41,19,7,5,14,19,""136677"",\N,\N"
"42,19,11,8,18,20,""137087"",\N,\N"
