qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,18,1,1,22,1,126572,125187,126714
2,18,9,2,4,2,126103,125315,126869
3,18,5,1,23,3,125664,125452,127079
4,18,13,6,2,4,125994,125691,127178
5,18,2,2,3,5,125960,125518,127236
6,18,15,7,11,6,126427,126101,128527
7,18,3,3,7,7,126295,126059,128687
8,18,14,9,9,8,126381,126063,129041
9,18,10,7,12,9,126919,126164,129593
23,19,13,6,2,1,135347,134412,135748
24,19,8,6,1,2,135645,134188,136230
25,19,5,1,23,3,135227,134759,136613
26,19,1,1,22,4,135392,134627,136709
27,19,15,7,11,5,135205,134960,136711
28,19,9,2,4,6,135794,134811,136727
29,19,2,2,3,7,135729,134648,136753
30,19,17,9,10,8,135440,134967,137009
31,19,4,4,5,9,135983,135140,138450
32,19,10,7,12,10,135891,135000,139656
45,20,9,2,4,1,132893,131745,133096
46,20,13,6,2,2,131937,131188,133123
47,20,1,1,22,3,132750,131922,133292
48,20,8,6,1,4,132652,131933,133418
49,20,5,1,23,5,133057,131718,133488
50,20,2,2,3,6,133137,131909,133737
51,20,15,7,11,7,132493,132159,133994
52,20,3,3,7,8,132903,132185,134015
53,20,18,11,16,9,132793,132362,135057
54,20,4,4,5,10,132947,132345,135115
67,21,8,6,1,1,120701,120784,121813
68,21,4,4,5,2,121347,120804,121904
69,21,13,6,2,3,121528,120584,122058
70,21,9,2,4,4,121423,120597,122065
71,21,1,1,22,5,121366,120825,122096
72,21,5,1,23,6,121430,120817,122231
73,21,17,9,10,7,121494,120984,122429
74,21,15,7,11,8,121158,120907,122529
75,21,2,2,3,9,121466,120815,122542
76,21,12,4,6,10,121409,120894,122699
89,22,13,6,2,1,125994,126192,127617
90,22,5,1,23,2,126736,126290,127808
91,22,1,1,22,3,126192,126477,127923
92,22,8,6,1,4,126457,126050,127936
93,22,9,2,4,5,126761,126129,128390
94,22,17,9,10,6,126773,126466,128417
95,22,4,4,5,7,126836,126522,128422
96,22,15,7,11,8,126695,126822,128836
97,22,2,2,3,9,127107,127607,128882
98,22,14,9,9,10,126939,126520,129959
109,23,13,6,2,1,115190,115110,115787
110,23,8,6,1,2,115717,115404,115815
111,23,1,1,22,3,115582,115322,115839
112,23,5,1,23,4,115295,115389,116165
113,23,9,2,4,5,115977,115483,116171
114,23,3,3,7,6,115935,115287,116548
